"Track","Artists","Genres"
"DEVASTATED","Joey Bada$$","hip hop;rap"
"Intro","OHGEESY",""
"Now You're Gone (feat. DJ Mental Theo's Bazzheadz) - Video Edit","Basshunter;DJ Mental Theos Bazzheadz","eurodance;europop"
"Stereo Love (Radio Edit)","Edward Maya;Vika Jigulina",""
"Motorcycle Patches","Huncho Jack;Travis Scott;Quavo","rap"
"Wu-Tang Forever","Drake","rap;hip hop"
"Red Red Wine","UB40","reggae"
"Cake","Aflacko",""
"World Hold On (Children of the Sky) - Radio Edit","Bob Sinclar;Steve Edwards","french house;disco house"
"You Are In My System - Club Mix","Kerri Chandler;Dennis Quin;Troy Denari","house;chicago house;deep house;jazz house;rally house"
"Currents","Drake","rap;hip hop"
"Les","Childish Gambino",""
"HEAT STICK","Shoreline Mafia;OHGEESY;Fenix Flexin",""
"Hurt Feelings","Flight of the Conchords","comedy"
"Attention (feat. Offset)","Rich Brian;Offset",""
"ELEMENT.","Kendrick Lamar","hip hop;west coast hip hop"
"Bad Bad Bad (feat. Lil Baby)","Young Thug;Lil Baby","rap;melodic rap;trap"
"Doom","Juice WRLD","melodic rap;emo rap"
"Red Nose","Sage The Gemini","hyphy"
"Desensitized","Bobby Raps","emo rap;bass house"
"Медуза","MATRANG",""
"Shoota (feat. Lil Uzi Vert)","Playboi Carti;Lil Uzi Vert","rage rap;melodic rap"
"Throw Away","Future","rap"
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)","Mustard;NAV;Playboi Carti;A Boogie Wit da Hoodie","melodic rap;rage rap"
"Money","The Drums","indie"
"Go Legend (& Metro Boomin)","Big Sean;Metro Boomin;Travis Scott","rap"
"Big Bad Wolf (feat. YG)","OHGEESY;YG",""
"Mr. Telephone Man","New Edition","new jack swing;quiet storm"
"My Love","Route 94;Jess Glynne","house"
"Everybody Wants To Rule The World","Tears For Fears","new wave;synthpop"
"Good Life","Kanye West;T-Pain","rap"
"Did It Again","Lil Tecca","melodic rap;rap"
"Juveniles (feat. YBN Nahmir)","Wifisfuneral;YBN Nahmir","dark trap;underground hip hop"
"Ice Age","Denzel Curry","punk rap"
"Mobile Suit Woe","Xavier Wulf","cloud rap;dark trap;underground hip hop;memphis rap;emo rap"
"NUEVAYoL","Bad Bunny","reggaeton;trap latino;urbano latino;latin"
"Heads Will Roll - A-Trak Remix","Yeah Yeah Yeahs;A-Trak","indie rock;disco house"
"LA Leakers Freestyle","Central Cee","uk drill;drill;grime"
"Donald Trump","Mac Miller",""
"Айкос","Mitchel",""
"Workin' Day and Night","Michael Jackson",""
"I LUV HER (feat. T-Pain)","GloRilla;T-Pain",""
"Get on the Floor","Michael Jackson",""
"Eminem Speaks","Juice WRLD","melodic rap;emo rap"
"No Romance","16yrold;KILLY",""
"Plug Walk","Rich The Kid","trap"
"LET'S GO","Jaden Bojsen;Sami Brielle",""
"All I Ever Wanted - Radio Edit","Basshunter","eurodance;europop"
"Our Time","Lil Tecca","melodic rap;rap"
"The Thrill","Wiz Khalifa;Empire Of The Sun","rap"
"Low Down","Lil Baby",""
"Blasian","Tskinz","uk drill"
"on one tonight","Gunna","melodic rap"
"Slide (feat. Frank Ocean & Migos)","Calvin Harris;Frank Ocean;Migos;Funk Wav","edm;trap"
"Money Longer","Lil Uzi Vert","melodic rap"
"Sauce It Up","Lil Uzi Vert","melodic rap"
"The Percocet & Stripper Joint","Future","rap"
"METAMORPHOSIS","INTERWORLD","phonk;drift phonk;brazilian phonk"
"Forever","Drake;Kanye West;Lil Wayne;Eminem","rap;hip hop"
"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine;Nicki Minaj;Murda Beatz",""
"Father Stretch My Hands Pt. 1","Kanye West","rap"
"Yah Mean","Playboi Carti","rage rap"
"Flashing Lights","Kanye West;Dwele","rap;neo soul;smooth r&b"
"Up","NAV","melodic rap"
"I'm On One","DJ Khaled;Drake;Rick Ross;Lil Wayne","rap;hip hop;southern hip hop"
"I Follow Rivers - The Magician Remix","Lykke Li;The Magician",""
"Broccoli (feat. Lil Yachty)","DRAM;Lil Yachty",""
"Nun Major","Shoreline Mafia",""
"That's My Name","Akcent","europop"
"Magnolia","Playboi Carti","rage rap"
"Feel So Close - Radio Edit","Calvin Harris","edm"
"Lucid Dreams","Juice WRLD","melodic rap;emo rap"
"Summer Sixteen","Drake","rap;hip hop"
"Life Goes On","Lil Baby;Gunna;Lil Uzi Vert","melodic rap"
"In My Room","Frank Ocean",""
"wokeuplikethis*","Playboi Carti;Lil Uzi Vert","rage rap;melodic rap"
"Un Ratito","Bad Bunny","reggaeton;trap latino;urbano latino;latin"
"Celebrate (with Offset)","Juice WRLD;Offset","melodic rap;emo rap"
"Who Do You Love?","YG;Drake","rap;hip hop"
"TATI (feat. DJ Spinking)","6ix9ine;DJ SpinKing",""
"Get Fly (feat. DaBaby)","OHGEESY;DaBaby",""
"Forever (feat. Fridayy)","Lil Baby;Fridayy",""
"ULTRA VIOLET","Thouxanbanfauni","cloud rap;melodic rap"
"Lost","Frank Ocean",""
"I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino)","A$AP Rocky;Imogen Heap;Clams Casino","rap;cloud rap"
"Ready (feat. Gunna)","Lil Baby;Gunna","melodic rap"
"ASTROTHUNDER","Travis Scott","rap"
"EARFQUAKE","Tyler, The Creator",""
"Swang","Rae Sremmurd",""
"iSpy (feat. Lil Yachty)","KYLE;Lil Yachty",""
"XO Tour Llif3","Lil Uzi Vert","melodic rap"
"Nikes on My Feet","Mac Miller",""
"BIG","Young M.A",""
"Kyoto","Yung Lean","cloud rap"
"Gangnam Style (강남스타일)","PSY","k-pop"
"Bacardi","Gucci Dassy","aussie drill"
"Love In The Dark","Adele","soft pop"
"Daygo","KGodd",""
"Tek It - Slowed","Cafuné",""
"Mrs Magic","Strawberry Guy","bedroom pop"
"No Pole","Don Toliver",""
"Flight of the Bumblebee","Nikolai Rimsky-Korsakov;Isaac Stern;Milton Katims;Columbia Symphony Orchestra","classical;orchestra;chamber music"
"RAPSTAR","Polo G",""
"P.Y.T. (Pretty Young Thing)","Michael Jackson",""
"Win","Tee Grizzley",""
"Burn","Juice WRLD","melodic rap;emo rap"
"1, 2, 3","Lil Kleine;Ronnie Flex","nederpop"
"Afterskool Special","Afterskool Special feat. Jimmy Urine;Fake Shark Real Zombie;Jimmy Urine",""
"Autograph","voided<3;paulys x",""
