"Track","Artists","Genres"
"New Choppa","Playboi Carti;A$AP Rocky","rage rap;rap"
"Silly Watch","Lil Uzi Vert","melodic rap"
"Not Like Us","Kendrick Lamar","hip hop;west coast hip hop"
"Nightcore 2","Ken Carson","rage rap"
"SOUTH ATLANTA BABY","Playboi Carti","rage rap"
"SLUT ME OUT","NLE Choppa",""
"Sherane a.k.a Master Splinter’s Daughter","Kendrick Lamar","hip hop;west coast hip hop"
"Lean 4 Real (feat. Skepta)","Playboi Carti;Skepta","rage rap;grime"
"Ps & Qs","Lil Uzi Vert","melodic rap"
"Fantasy","Bazzi",""
"TALKING","¥$;Kanye West;Ty Dolla $ign","rap"
"Grab the Wheel","Lil Uzi Vert","melodic rap"
"BEST INTEREST","Tyler, The Creator",""
"Lean Wit Me","Juice WRLD","melodic rap;emo rap"
"OLYMPIAN","Playboi Carti","rage rap"
"Broke In A Minute","Tory Lanez",""
"WORST DAY","Future","rap"
"You Better Move","Lil Uzi Vert","melodic rap"
"Posted With Demons","Future","rap"
"Move","Adam Port;Stryv;Keinemusik;Orso;Malachiii","afro house;house;melodic house"
"CALI","citimall","indian indie;hindi indie;desi hip hop;hindi hip hop"
"You (feat. Travis Scott)","Don Toliver;Travis Scott","rap"
"All Falls Down","Kanye West;Syleena Johnson","rap;neo soul"
"SKELETONS","Travis Scott","rap"
"FRIED","¥$;Kanye West;Ty Dolla $ign","rap"
"I Can Show You","Lil Uzi Vert","melodic rap"
"lovely (with Khalid)","Billie Eilish;Khalid",""
"Rich Spirit","Kendrick Lamar","hip hop;west coast hip hop"
"Da Coconut Nut - The Coconut Song","The San Miguel Master Chorale",""
"Father Time (feat. Sampha)","Kendrick Lamar;Sampha","hip hop;west coast hip hop"
"Again (feat. XXXTENTACION)","Noah Cyrus;XXXTENTACION","emo rap"
"guidance","Travis Scott","rap"
"La La La","Naughty Boy;Sam Smith","soft pop"
"Wesley Presley","Future","rap"
"Intentions (feat. Quavo)","Justin Bieber;Quavo",""
"What's Up With That (Future feat. 21 Savage)","Future;21 Savage","rap"
"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar;Rihanna","hip hop;west coast hip hop"
"Kill My High Freestyle - Bonus Track","Santino Le Saint",""
"Bluest Flame","Selena Gomez;benny blanco","pop"
"The Spins","Mac Miller;Empire Of The Sun",""
"NO BYSTANDERS","Travis Scott","rap"
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","Maroon 5;Christina Aguilera","pop"
"Hit 'Em Up - Single Version","2Pac;Outlawz","gangster rap;west coast hip hop;g-funk;hip hop"
"Meh","Playboi Carti","rage rap"
"In My Room","Frank Ocean",""
"Wake Up","Dom Corleo","rage rap;underground hip hop"
"Mystery Lady","Masego;Don Toliver",""
"PUFFIN ON ZOOTIEZ","Future","rap"
"Corny","Rema","afrobeats;afrobeat;afropop;afropiano"
"Mosquito","PinkPantheress","bedroom pop"
"God's Plan","Drake","rap;hip hop"
"Hurts Me","Tory Lanez;Trippie Redd;Yoko Gold","melodic rap"
"Love Galore (feat. Travis Scott)","SZA;Travis Scott","r&b;rap"
"M a k e I t T o T h e M o r n i n g","PARTYNEXTDOOR","r&b"
"Devil In A New Dress","Kanye West;Rick Ross","rap;southern hip hop"
"OMG (feat. will.i.am)","USHER;will.i.am","r&b"
"Mileage (feat. Chief Keef)","Playboi Carti;Chief Keef","rage rap;drill"
"Fashion Ka Jalwa","Sukhwinder Singh;Satya Hinduja;Robert Bob Omulo","bollywood;desi;hindi pop;bangla pop"
"Forever Yours","Brent Faiyaz","r&b"
"Die For You","The Weeknd",""
"V12 (feat. Lil Uzi Vert)","iann dior;Lil Uzi Vert","melodic rap"
"Ballad of a Badman","Tory Lanez",""
"Gold Digger","Kanye West;Jamie Foxx","rap"
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","A$AP Rocky;Drake;2 Chainz;Kendrick Lamar","rap;hip hop;southern hip hop;west coast hip hop"
"Paisa","Manak-E;Selina;R.D.B.","bhangra;bollywood;desi"
"RENO","Ryan Librada",""
"Black Skinhead","Kanye West","rap"
"Brazil","Declan McKenna",""
"EARFQUAKE","Tyler, The Creator",""
"beibs in the trap","Travis Scott","rap"
"Lookin","Playboi Carti;Lil Uzi Vert","rage rap;melodic rap"
"Flex","Playboi Carti;Leven Kali","rage rap"
"the ends","Travis Scott","rap"
"No Sl33p","Playboi Carti","rage rap"
"Open Arms (feat. Travis Scott)","SZA;Travis Scott","r&b;rap"
"Smack That","Akon;Eminem","rap;hip hop"
"Disturbia","Rihanna",""
"STAY (with Justin Bieber)","The Kid LAROI;Justin Bieber",""
"if looks could kill","Destroy Lonely","rage rap"
"Jericho","Iniko",""
"AIN'T GONNA ANSWER","NLE Choppa;Lil Wayne","rap;hip hop"
"Comin Out Strong (feat. The Weeknd)","Future;The Weeknd","rap"
"I Serve the Base","Future","rap"
"That Fiya","Lil Uzi Vert","melodic rap"
"I'm Sorry","Lil Uzi Vert","melodic rap"
"Zoom (Bonus Track)","Lil Uzi Vert","melodic rap"
"Suicide Doors","Lil Uzi Vert","melodic rap"
"MOJABI GHOST","Tainy;Bad Bunny","reggaeton;trap latino;urbano latino;latin"
"Draco","Future","rap"
"Urgency (feat. Syd)","Lil Uzi Vert;Syd","melodic rap;alternative r&b"
"Died and Came Back","Lil Uzi Vert","melodic rap"
"500lbs","Lil Tecca","melodic rap;rap"
"Mona Lisa","Dominic Fike",""
"squabble up","Kendrick Lamar","hip hop;west coast hip hop"
"Forever","Drake;Kanye West;Lil Wayne;Eminem","rap;hip hop"
"Singapore (feat. Destroy Lonely)","Ken Carson;Destroy Lonely","rage rap"
"Diva (feat. Lil Tecca)","The Kid LAROI;Lil Tecca","melodic rap;rap"
"One Dance","Drake;Wizkid;Kyla","rap;hip hop;afrobeats;afrobeat;afropop;azonto;afroswing;afropiano"
"Flashing Lights","Kanye West;Dwele","rap;neo soul;smooth r&b"
"Hi Roller","Lil Uzi Vert","melodic rap"
"MONEY ON THE DASH - SPED UP","Elley Duhé;Whethan",""
"See You Again (feat. Kali Uchis)","Tyler, The Creator;Kali Uchis",""
"Frat Rules (feat. A$AP Rocky, Playboi Carti & Big Sean)","A$AP Mob;A$AP Rocky;Playboi Carti;Big Sean","rap;rage rap"
"NIGHTS LIKE THIS","The Kid LAROI",""
"Wassup","A$AP Rocky","rap"
"Gorgeous","Kanye West;Kid Cudi;Raekwon","rap;east coast hip hop;hardcore hip hop;hip hop;boom bap"
"Die4Guy","Playboi Carti","rage rap"
"FUK SUMN","¥$;Kanye West;Ty Dolla $ign","rap"
"LUNCH","Billie Eilish",""
"HARDY BOYS","mikeeysmind",""
"Took Her To The O","King Von","drill"
"Stick to the Models","Future","rap"
"LOOOVE (feat. Kid Cudi)","Travis Scott;Kid Cudi","rap"
"Other Shit","Playboi Carti","rage rap"
